Customer Billing Account.CustomerBillingAccount.ID,Digital Identity.NetworkCredential.ID (MSISDN),Plan ID,productOffering.planType,Customer Plan Name,productOffering.businessType,productOffering.market segment,productOffering.customerType,Price,Activation Fee,Customer Subscription Start Date,Customer subscription end date,Length of customer relationship (In Months),Subscription Status,Time Since last purchase or engagement (In Months),Party.Party Demographic.PartyDemographicValue.value(Age),Party.Individual.gender,Party.Party Demographic.PartyDemographicValue.value(Income Level),Party.Party Demographic.PartyDemographicValue.value(Education),Individual.maritalStatus (Family Structure),Location.Geographic Place.GeographicState.name,Age Group,VIP Group,No Of Lines,Usage From Period,Usage To Period,Product.Networkproduct.ConsumptionSummary.value (Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value Voice (in Minutes),Product.Networkproduct.ConsumptionSummary.value (SMS (In Numbers)),Product.Networkproduct.ConsumptionSummary.value (International Roaming Voice (In Minutes),Product.Networkproduct.ConsumptionSummary.value (International Roaming Data Upload (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing Data Download (In GB)),Product.Networkproduct.ConsumptionSummary.value (International Romaing SMS),Product.Networkproduct.ConsumptionSummary.value (Consumed OTT usage (In GB)),Product.Networkproduct.ConsumptionSummary.value (Cloud Storage),"Rating Group (Google, Youtube)",At Risk Customer(Based on usage or behaviour patterns),Number of Compaints Raised,Churn Category,Reason Of Churn,Churn Status,Churn Score,CLTV,Contract,Satisfaction Score (Out of 5)
5MB8-AT6R7,9198557174,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,15-May-22,,34,Active,0,36,Female,Medium,Professional,Family,Los Angeles,Middle Aged,N,4,01-Jan-25,31-Jan-25,31.78,83.65,685,105,79,0.57,1.34,34,26.56,0,Google,No,1,,,Not Churned,17,5313,N,4
HAC6-6LL2O,9104854416,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,26-Mar-22,19-Oct-24,31,Inactive,5,36,Male,Medium,College,Family,Las Vegas,Middle Aged,N,1,01-Jan-25,31-Jan-25,17.09,99.05,628,142,0,0.00,0.00,0,6.06,0,Youtube,No,10,Customer Service,Multiple unresolved complaints and poor customer service,Churned,98,3610,N,2
BBN6-R6813,9115048562,POCH030,voice and data,Infinite Ultimate,prepaid,Nurses,Family & CUG,50/line,35,15-Mar-22,14-Nov-24,32,Inactive,4,41,Male,High,College,Family,Las Vegas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,13.78,80.74,693,84,0,0.00,0.00,0,11.05,0,Youtube,No,9,Customer Service,Multiple unresolved complaints and poor customer service,Churned,81,7423,N,2
W07E-984Q8,9185953411,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,08-Sep-22,09-Aug-24,23,Inactive,7,23,Female,Medium,High School,Single,Los Angeles,Young,N,2,01-Jan-25,31-Jan-25,3.41,46.41,136,10,0,0.00,0.00,0,2.91,0,Google,No,5,Price Sensitive,Price sensitivity,Churned,92,3614,N,3
Q60Z-1EIA3,9123308076,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,13-Jun-23,11-Oct-24,16,Inactive,5,31,Male,High,Professional,Married,Dallas,Young,Y,1,01-Jan-25,31-Jan-25,21.88,119.46,481,96,22,1.70,2.43,19,10.31,0,Google,No,2,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,73,8461,N,3
HXYR-AP12O,9189654454,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,04-Feb-23,18-Jul-24,17,Inactive,8,34,Female,High,Professional,Family,Rural Texas,Young,Y,1,01-Jan-25,31-Jan-25,17.44,123.64,120,71,0,0.00,0.00,0,29.55,0,Google,No,2,Network Quality,Network coverage and speed issues in their location,Churned,94,8382,N,2
E1R8-1HG4H,9109524035,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,07-Feb-23,,26,Active,0,43,Female,Medium,Professional,Married,New York,Middle Aged,N,2,01-Jan-25,31-Jan-25,38.53,153.31,583,107,67,1.81,1.07,12,32.38,0,Google,No,0,,,Not Churned,28,5404,N,5
FMB1-9XIJG,9172050657,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,04-Dec-22,,28,Active,0,42,Male,Medium,Professional,Married,Los Angeles,Middle Aged,N,1,01-Jan-25,31-Jan-25,38.34,97.92,487,56,50,0.23,3.35,21,25.91,0,Youtube,No,0,,,Not Churned,15,4134,N,5
Y8O3-TKU9N,9189247448,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,07-Dec-22,28-Oct-24,23,Inactive,5,50,Male,High,College,Married,Los Angeles,Middle Aged,Y,2,01-Jan-25,31-Jan-25,10.27,51.23,436,60,0,0.00,0.00,0,8.92,0,Youtube,No,8,Customer Service,Multiple unresolved complaints and poor customer service,Churned,100,10903,N,1
HBUH-67NC8,9150259078,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,04-Mar-22,17-Nov-24,32,Inactive,4,57,Female,High,College,Married,Las Vegas,Senior,Y,2,01-Jan-25,31-Jan-25,12.34,76.29,560,121,0,0.00,0.00,0,9.84,0,Google,No,5,Customer Service,Multiple unresolved complaints and poor customer service,Churned,87,9678,N,1
O40K-QIOEO,9197342997,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,21-Aug-22,10-Jan-25,29,Inactive,2,40,Female,High,College,Married,New York,Middle Aged,Y,4,01-Jan-25,31-Jan-25,16.69,77.17,424,34,69,0.94,5.20,49,24.07,0,Google,No,4,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,89,9606,N,2
CIFD-MC4ZV,9106860791,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,04-Sep-23,,19,Active,0,30,Female,Medium,College,Single,Dallas,Young,N,4,01-Jan-25,31-Jan-25,18.78,61.98,348,37,0,0.00,0.00,0,11.22,0,Youtube,Yes,1,,,At Risk,77,4383,N,3
VGBM-XYC6S,9196259458,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,16-Sep-23,18-Nov-24,14,Inactive,4,43,Female,High,Professional,Married,Dallas,Middle Aged,Y,1,01-Jan-25,31-Jan-25,16.61,55.45,315,61,50,0.96,1.24,45,18.56,0,Google,No,1,Feature Deficiency,Competitor offered better streaming quality and international options,Churned,88,8764,N,2
KUNT-EIB32,9132902827,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,25-Apr-23,01-Nov-24,18,Inactive,4,48,Male,High,College,Married,Rural California,Middle Aged,Y,1,01-Jan-25,31-Jan-25,25.74,101.50,258,42,0,0.00,0.00,0,29.62,0,Youtube,No,4,Network Quality,Network coverage and speed issues in their location,Churned,70,6655,N,2
9TE9-79Z1D,9152363130,POCH031,voice and data,Infinite Ultimate,prepaid,Students,Individual,80,35,31-Mar-23,03-Sep-24,17,Inactive,6,25,Male,Medium,College,Family,Rural Texas,Young,N,3,01-Jan-25,31-Jan-25,16.86,98.00,157,69,0,0.00,0.00,0,18.97,0,Google,No,4,Network Quality,Network coverage and speed issues in their location,Churned,71,3886,N,2
35SQ-8FFUT,9121301921,POCH045,voice and data,5GB Plan,prepaid,General,Individual,40,35,30-Aug-23,,19,Active,0,44,Male,High,Professional,Married,Los Angeles,Middle Aged,Y,3,01-Jan-25,31-Jan-25,29.07,113.24,700,114,78,0.36,3.01,36,20.72,0,Google,No,0,,,Not Churned,12,7962,N,5
1F6G-85KJP,9176187233,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,07-Aug-22,,32,Active,0,25,Male,Medium,Professional,Single,Las Vegas,Young,N,3,01-Jan-25,31-Jan-25,12.16,55.02,257,57,0,0.00,0.00,0,20.15,0,Youtube,Yes,1,,,At Risk,82,5152,N,2
EJ93-9PAOX,9108222625,POCH023,voice and data,Infinite Ultimate,prepaid,General,Individual,90,35,29-Dec-22,26-Nov-24,23,Inactive,4,34,Female,Medium,College,Family,Las Vegas,Young,N,3,01-Jan-25,31-Jan-25,14.80,57.53,639,136,0,0.00,0.00,0,15.98,0,Youtube,No,5,Customer Service,Multiple unresolved complaints and poor customer service,Churned,70,5450,N,1
M0CN-XO3P8,9120532686,POCH011,voice and data,Infinite Plus,prepaid,Military and veterans,Individual,70,35,11-Jan-22,,39,Active,0,59,Female,High,College,Family,New York,Senior,Y,4,01-Jan-25,31-Jan-25,33.23,147.75,573,141,92,1.48,7.35,45,31.35,0,Google,No,0,,,Not Churned,16,8659,N,5
ZT59-36AZB,9149715569,POCH008,voice and data,Infinite Plus,prepaid,Nurses,Family & CUG,40/line,35,29-Jan-23,,26,Active,0,42,Male,Medium,College,Family,Los Angeles,Middle Aged,N,2,01-Jan-25,31-Jan-25,37.97,85.76,501,199,95,1.33,1.38,11,28.38,0,Google,No,1,,,Not Churned,28,3411,N,4
